CodigoFamilia,FamiliaProducto,CodigoRubro
111,REPRODUCTOR DVD,11
112,TELEVISORES,11
113,SISTEMAS HOME THEATER,11
114,REPRODUCTOR CD PORTATIL,11
115,EQUIPOS DE SONIDO,11
116,PARLANTES / AMPLIFICADORES,11
117,REPRODUCTOR MULTIMEDIA,11
121,CAMARAS DIGITALES,12
122,FILMADORAS,12
123,CAMARAS FOTOGRAFICAS,12
131,COPIADORAS,13
132,IMPRESORAS,13
133,FAX,13
134,SCANNERS,13
135,TELEFONOS,13
141,ESCRITORIO,14
142,PORTATILES,14
143,PDA,14
211,ACCESORIOS DE BAR,21
212,ACCESORIOS DE COMEDOR,21
213,AZAFATES DE MADERA,21
214,COPAS DE VIDIRO,21
215,CUBIERTOS,21
216,VAJILLA REFRACTARIA,21
221,ACCESORIOS BAÑERA,22
222,CORTINAS DE BAÑO,22
223,ORGANIZADORES DE BAÑO,22
224,PISOS DE BAÑO,22
225,TOALLAS,22
231,ACCESORIOS DE MICROONDAS,23
232,CUCHILLOS,23
233,LIMPIEZA DE COCINA,23
234,OLLAS DE ALUMINIO,23
235,UTENSILIOS DE MADERA,23
241,FUNDAS - PROTECTORES,24
242,ORGANIZADORES,24
251,ADORNOS DE CERAMICA,25
252,CUADROS,25
253,ADORNOS DE MADERA,25
254,ADORNOS DE CRISTAL,25
261,CAMPANAS,26
262,COCINAS,26
263,LAVADORAS,26
264,HORNO MICROONDAS,26
265,REFRIGERADORAS,26
266,ASPIRADORAS,26
267,LICUADORAS,26
271,SALA,27
272,COMEDOR,27
273,OFICINA,27
274,DORMITORIO,27
311,ACCESORIOS DE PARRILLA,31
312,CARPAS / SLEEPING,31
313,ACCESORIOS CAMPING,31
321,JUEGOS DE TABLERO,32
322,JUEGOS ELECTRONICOS,32
331,JUGUETES INFANTILES,33
332,PELUCHES,33
341,FIGURAS DE ACCION,34
342,BLOCKS CONSTRUCCION,34
343,CARROS Y CAMIONES,34
351,MUÑECAS,35
352,ACTIVIDADES,35
411,VESTIDOS,41
412,ACCESORIOS DAMAS,41
413,BLUSAS Y TOPS,41
414,MATERNIDAD,41
421,PANTALONES,42
422,CAMISAS,42
423,CASACAS,42
424,CORBATAS,42
431,CALZADO DAMAS,43
432,CALZADO CABALLEROS,43
433,CALZADO NIÑOS,43
441,NIÑAS,44
442,NIÑOS,44
443,ACCESORIOS,44
451,UNIFORMES,45
452,UTILES,45
