Cod_Venta,Numero_Documento,Tipo_Documento,Correlativo,Codigo_Unidad,Codigo_Empresa,Codigo_Tipo_Documento,Codigo_Unidad_Venta,CodigoVendedor,Codigo_Cliente,Codigo_Tipo_Facturacion,Codigo_Almacen,Codigo_Ubigeo,Codigo_Condicion_Pago,Codigo_Tienda,Numero_Signo,Fecha_Documento,Venta_MonNacional,Venta_MonExtranjera
1,0104-0000002112,BOL,1,1,1,AJP,1,4148,11017,VSE,1101,1390,1101,1100,1,00:00.0,112.166,34.5126
2,0104-0000002113,BOL,1,1,1,AJP,1,4156,11020,VSE,1101,1390,1101,1100,1,00:00.0,452.404,139.2012
3,0104-0000002114,BOL,1,1,1,AJP,1,4157,11025,VSE,1101,1390,1101,1100,1,00:00.0,3056.6,940.4923
4,0104-0000002115,BOL,1,1,1,AJP,1,4159,11037,VSE,1101,1390,1101,1100,1,00:00.0,2699.6,830.6462
5,0104-0000002116,BOL,1,1,1,AJP,1,4160,11038,VSE,1101,1390,1101,1100,1,00:00.0,4080,1255.3846
6,0104-0000002117,BOL,1,1,1,AJP,1,4146,11046,VSE,1101,1390,1101,1100,1,00:00.0,58.9,18.1231
7,0104-0000002118,BOL,1,1,1,AJP,1,4147,11053,VSE,1101,1390,1101,1100,1,00:00.0,55.1,16.9538
8,0104-0000002119,BOL,1,1,1,AJP,1,4151,11036,VSE,1101,1390,1101,1100,1,00:00.0,45.6,14.0308
9,0104-0000002120,BOL,1,1,1,AJP,1,4158,11011,VSE,1101,1390,1101,1100,1,00:00.0,36.9,11.3538
10,0104-0000002121,BOL,1,1,1,AJP,1,4149,11026,VSE,1101,1390,1101,1100,1,00:00.0,197.37,60.7292
11,0104-0000002122,BOL,1,1,1,AJP,1,4143,11027,VSE,1101,1390,1101,1100,1,00:00.0,131.274,40.392
12,0104-0000002123,BOL,1,1,1,AJP,1,4145,11018,VSE,1101,1390,1101,1100,1,00:00.0,414.596,127.568
13,0104-0000002125,BOL,1,1,1,AJP,1,4155,11029,VSE,1101,1390,1101,1100,1,00:00.0,65.5,20.1538
14,0104-0000002126,BOL,1,1,1,AJP,1,4142,11006,VSE,1101,1390,1101,1100,1,00:00.0,42.9,13.2
15,0104-0000002127,BOL,1,1,1,AJP,1,4144,11002,VSE,1101,1390,1101,1100,1,00:00.0,71.85,22.1077
16,0104-0000002128,BOL,1,1,1,AJP,1,4150,11004,VSE,1101,1390,1101,1100,1,00:00.0,59.99,18.4585
17,0104-0000002129,BOL,1,1,1,AJP,1,4153,11028,VSE,1101,1390,1101,1100,1,00:00.0,883.966,271.9895
18,0104-0000002130,BOL,1,1,1,AJP,1,4152,11052,VSE,1101,1390,1101,1100,1,00:00.0,205.5,63.2308
19,0104-0000002131,BOL,1,1,1,AJP,1,4148,11044,VSE,1101,1390,1101,1100,1,00:00.0,75.85,23.3385
20,0104-0000002132,BOL,1,1,1,AJP,1,4156,11049,VSE,1101,1390,1101,1100,1,00:00.0,56.2,17.2923
