IDVenta,CodigoProducto,Cantidad,Venta_MonNacional,Venta_MonExtranjera,Descuento_MonNacional,Descuento_MonExtranjera,Impuesto_MonNacional,Impuesto_MonExtranjera,Costo_MonNacional,Costo_MonExtranjera,Codigo_UnidadMedida,Codigo_UnidadMedida_Venta
1,1039,1,112.166,34.5126,0,0,21.3115,6.5574,65.8151,20.2508,UNI,NULL
2,1042,1,452.404,139.2012,0,0,85.9568,26.4482,318.535,98.0108,UNI,NULL
3,1132,1,3056.6,940.4923,458.49,141.0738,580.754,178.6935,1895.991,583.3818,UNI,NULL
4,1131,1,2699.6,830.6462,0,0,512.924,157.8228,1674.546,515.2449,UNI,NULL
5,1141,1,4080,1255.3846,612,188.3077,775.2,238.5231,2530.8,778.7077,UNI,NULL
6,2082,1,58.9,18.1231,0,0,11.191,3.4434,11.191,3.4434,UNI,NULL
7,2081,1,55.1,16.9538,0,0,10.469,3.2212,10.469,3.2212,UNI,NULL
8,2080,1,45.6,14.0308,0,0,8.664,2.6658,8.664,2.6658,UNI,NULL
9,2079,1,36.9,11.3538,0,0,7.011,2.1572,7.011,2.1572,UNI,NULL
10,2129,1,197.37,60.7292,0,0,37.5003,11.5386,97.6111,30.0342,UNI,NULL
11,2128,1,131.274,40.392,0,0,24.9421,7.6745,64.9227,19.9762,UNI,NULL
12,2127,1,414.596,127.568,0,0,78.7732,24.2379,205.0421,63.0899,UNI,NULL
13,2014,1,65.5,20.1538,0,0,12.445,3.8292,29.475,9.0692,UNI,NULL
14,2013,1,42.9,13.2,0,0,8.151,2.508,19.305,5.94,UNI,NULL
15,2051,1,71.85,22.1077,0,0,13.6515,4.2005,30.177,9.2852,UNI,NULL
16,2050,1,59.99,18.4585,0,0,11.3981,3.5071,25.1958,7.7526,UNI,NULL
17,2153,1,883.966,271.9895,0,0,167.9535,51.678,489.0412,150.4742,UNI,NULL
18,3024,1,205.5,63.2308,0,0,39.045,12.0138,36.99,11.3815,UNI,NULL
19,2059,1,75.85,23.3385,0,0,14.4115,4.4343,18.204,5.6012,UNI,NULL
20,2004,1,56.2,17.2923,0,0,10.678,3.2855,25.29,7.7815,UNI,NULL
21,2015,1,59,18.1538,0,0,11.21,3.4492,26.55,8.1692,UNI,NULL
22,2151,1,559.99,172.3046,0,0,106.3981,32.7379,369.5934,113.721,UNI,NULL
23,3002,1,28.6,8.8,0,0,5.434,1.672,6.006,1.848,UNI,NULL
24,3018,1,66.5,20.4615,0,0,12.635,3.8877,11.97,3.6831,UNI,NULL
25,3029,1,68.5,21.0769,0,0,13.015,4.0046,28.085,8.6415,UNI,NULL
26,3030,1,77.6,23.8769,0,0,14.744,4.5366,31.816,9.7895,UNI,NULL
27,3031,1,119.6,36.8,0,0,22.724,6.992,49.036,15.088,UNI,NULL
28,3037,1,38.5,11.8462,0,0,7.315,2.2508,6.93,2.1323,UNI,NULL
29,3040,1,75.95,23.3692,0,0,14.4305,4.4402,13.671,4.2065,UNI,NULL
30,3042,1,79.45,24.4462,0,0,15.0955,4.6448,14.301,4.4003,UNI,NULL
31,3050,1,85.4,26.2769,0,0,16.226,4.9926,38.43,11.8246,UNI,NULL
32,3051,1,79.99,24.6123,0,0,15.1981,4.6763,35.9955,11.0755,UNI,NULL
33,3053,1,81.23,24.9938,0,0,15.4337,4.7488,36.5535,11.2472,UNI,NULL
34,4012,1,84.966,26.1434,0,0,16.1435,4.9672,29.2008,8.9849,UNI,NULL
35,4015,1,87.04,26.7815,0,0,16.5376,5.0885,29.9136,9.2042,UNI,NULL
36,4017,2,55.964,17.2197,0,0,10.6332,3.2718,9.6168,2.959,UNI,NULL
37,4018,1,26.69,8.2123,0,0,5.0711,1.5603,9.1727,2.8224,UNI,NULL
38,4020,1,71.57,22.0215,0,0,13.5983,4.1841,24.5969,7.5683,UNI,NULL
39,4022,1,68,20.9231,0,0,12.92,3.9754,23.37,7.1908,UNI,NULL
40,4023,1,64.566,19.8665,0,0,12.2675,3.7746,22.1898,6.8276,UNI,NULL
41,4024,1,64.566,19.8665,0,0,12.2675,3.7746,22.1898,6.8276,UNI,NULL
42,4025,1,57.766,17.7742,0,0,10.9755,3.3771,19.8528,6.1086,UNI,NULL
43,4026,1,82.62,25.4215,0,0,15.6978,4.8301,28.3946,8.7368,UNI,NULL
44,4027,1,74.766,23.0049,0,0,14.2055,4.3709,25.6953,7.9062,UNI,NULL
45,4028,1,74.8,23.0154,0,0,14.212,4.3729,25.707,7.9098,UNI,NULL
46,4030,1,122.366,37.6511,0,0,23.2495,7.1537,42.0543,12.9398,UNI,NULL
47,4031,1,96.9,29.8154,0,0,18.411,5.6649,33.3023,10.2469,UNI,NULL
48,4037,1,62.9,19.3538,0,0,11.951,3.6772,17.3993,5.3536,UNI,NULL
49,4039,1,102.85,31.6462,0,0,19.5415,6.0128,28.4501,8.7539,UNI,NULL
50,4085,1,68,20.9231,0,0,12.92,3.9754,26.22,8.0677,UNI,NULL
51,4086,1,84.966,26.1434,0,0,16.1435,4.9672,32.7619,10.0806,UNI,NULL
52,4102,2,78.2,24.0615,0,0,14.858,4.5717,16.0598,4.9415,UNI,NULL
53,4108,1,57.766,17.7742,0,0,10.9755,3.3771,23.7265,7.3005,UNI,NULL
54,4112,1,37.4,11.5077,0,0,7.106,2.1865,15.3615,4.7266,UNI,NULL
55,2105,1,38.54,11.8585,0,0,7.3226,2.2531,7.3226,2.2531,UNI,NULL
56,2104,1,56.3,17.3231,0,0,10.697,3.2914,10.697,3.2914,UNI,NULL
57,2113,1,801.856,246.7249,0,0,152.3526,46.8777,475.8645,146.4198,UNI,NULL
58,2112,1,901.952,277.5237,0,0,171.3709,52.7295,535.2775,164.7008,UNI,NULL
59,2111,1,1760.01,541.5415,0,0,334.4019,102.8929,89.3201,27.4831,UNI,NULL
60,2109,1,454.24,139.7662,0,0,86.3056,26.5556,268.4795,82.6091,UNI,NULL
61,2108,1,357.952,110.1391,0,0,68.0109,20.9264,212.4295,65.3629,UNI,NULL
62,2107,1,288.048,88.6302,0,0,54.7291,16.8397,170.9525,52.6008,UNI,NULL
63,1083,1,1037.68,319.2862,0,0,197.1592,60.6644,434.91,133.8185,UNI,NULL
64,1096,1,2117.69,651.5969,0,0,402.3611,123.8034,923.0637,284.0196,UNI,NULL
65,1119,1,1035.98,318.7631,0,0,196.8362,60.565,451.5654,138.9432,UNI,NULL
66,1111,1,391.68,120.5169,0,0,74.4192,22.8982,170.7264,52.5312,UNI,NULL
67,1110,1,744.532,229.0868,0,0,141.4611,43.5265,324.5284,99.8549,UNI,NULL
68,1114,1,703.766,216.5434,0,0,133.7155,41.1432,306.7592,94.3874,UNI,NULL
69,1080,1,581.366,178.8818,0,0,110.4595,33.9875,243.6608,74.9726,UNI,NULL
70,1079,1,476,146.4615,0,0,90.44,27.8277,199.5,61.3846,UNI,NULL
71,1078,1,510,156.9231,0,0,96.9,29.8154,213.75,65.7692,UNI,NULL
72,1077,1,424.966,130.7588,0,0,80.7435,24.8442,178.1108,54.8033,UNI,NULL
73,1076,1,642.26,197.6185,0,0,122.0294,37.5475,269.1825,82.8254,UNI,NULL
74,1075,1,642.26,197.6185,0,0,122.0294,37.5475,269.1825,82.8254,UNI,NULL
75,1074,1,679.966,209.2203,0,0,129.1935,39.7518,284.9858,87.6879,UNI,NULL
76,1073,1,747.966,230.1434,0,0,142.1135,43.7272,313.4858,96.4572,UNI,NULL
77,1072,1,510,156.9231,0,0,96.9,29.8154,213.75,65.7692,UNI,NULL
78,1071,1,642.26,197.6185,0,0,122.0294,37.5475,269.1825,82.8254,UNI,NULL
79,1065,1,901,277.2308,0,0,171.19,52.6738,377.625,116.1923,UNI,NULL
80,1040,1,67.592,20.7975,0,0,12.8425,3.9515,39.6606,12.2033,UNI,NULL
81,1010,1,339.966,104.6049,0,0,64.5935,19.8749,199.4801,61.3785,UNI,NULL
82,1002,1,256.666,78.9742,0,0,48.7665,15.0051,150.6026,46.3393,UNI,NULL
83,2148,1,1356.6,417.4154,0,0,257.754,79.3089,750.519,230.9289,UNI,NULL
84,2154,1,2499,768.9231,0,0,474.81,146.0954,1649.34,507.4892,UNI,NULL
85,2155,1,546.856,168.2634,0,0,103.9026,31.97,302.54,93.0892,UNI,NULL
86,1068,1,500,153.8462,0,0,95,29.2308,569.9858,175.3802,UNI,NULL
87,1039,1,112.166,34.5126,0,0,21.3115,6.5574,65.8151,20.2508,UNI,NULL
88,1042,1,452.404,139.2012,0,0,85.9568,26.4482,318.535,98.0108,UNI,NULL
89,1132,1,3056.6,940.4923,458.49,141.0738,580.754,178.6935,1895.991,583.3818,UNI,NULL
90,1131,1,2699.6,830.6462,0,0,512.924,157.8228,1674.546,515.2449,UNI,NULL
91,1141,1,4080,1255.3846,612,188.3077,775.2,238.5231,2530.8,778.7077,UNI,NULL
92,2006,1,38,11.6923,0,0,7.22,2.2215,17.1,5.2615,UNI,NULL
93,2014,1,65.5,20.1538,0,0,12.445,3.8292,29.475,9.0692,UNI,NULL
94,2013,2,85.8,26.4,0,0,16.302,5.016,19.305,5.94,UNI,NULL
95,2050,1,59.99,18.4585,0,0,11.3981,3.5071,25.1958,7.7526,UNI,NULL
96,2051,1,71.85,22.1077,0,0,13.6515,4.2005,30.177,9.2852,UNI,NULL
97,2079,1,36.9,11.3538,0,0,7.011,2.1572,7.011,2.1572,UNI,NULL
98,2080,1,45.6,14.0308,0,0,8.664,2.6658,8.664,2.6658,UNI,NULL
99,2081,1,55.1,16.9538,0,0,10.469,3.2212,10.469,3.2212,UNI,NULL
100,2082,2,117.8,36.2462,0,0,22.382,6.8868,11.191,3.4434,UNI,NULL
101,2127,1,414.596,127.568,0,0,78.7732,24.2379,205.0421,63.0899,UNI,NULL
102,2128,1,131.274,40.392,0,0,24.9421,7.6745,64.9227,19.9762,UNI,NULL
103,2129,1,197.37,60.7292,0,0,37.5003,11.5386,97.6111,30.0342,UNI,NULL
104,2153,1,883.966,271.9895,0,0,167.9535,51.678,489.0412,150.4742,UNI,NULL
105,3024,1,205.5,63.2308,0,0,39.045,12.0138,36.99,11.3815,UNI,NULL
106,2004,1,56.2,17.2923,0,0,10.678,3.2855,25.29,7.7815,UNI,NULL
107,2015,1,59,18.1538,0,0,11.21,3.4492,26.55,8.1692,UNI,NULL
108,2059,1,75.85,23.3385,0,0,14.4115,4.4343,18.204,5.6012,UNI,NULL
109,2151,1,559.99,172.3046,0,0,106.3981,32.7379,369.5934,113.721,UNI,NULL
110,1135,1,1904,585.8462,0,0,361.76,111.3108,1181.04,363.3969,UNI,NULL
111,1134,1,6053.7,1862.6769,908.055,279.4015,1150.203,353.9086,3755.0745,1155.4075,UNI,NULL
112,1133,1,2548.3,784.0923,0,0,484.177,148.9775,1580.6955,486.3678,UNI,NULL
113,1122,1,416.5,128.1538,0,0,79.135,24.3492,181.545,55.86,UNI,NULL
114,1093,1,198.56,61.0954,0,0,37.7264,11.6081,83.22,25.6062,UNI,NULL
115,1069,1,2480.3,763.1692,0,0,471.257,145.0022,1039.5375,319.8577,UNI,NULL
116,1068,1,1359.966,418.4511,0,0,258.3935,79.5057,569.9858,175.3802,UNI,NULL
117,1083,1,1037.68,319.2862,0,0,197.1592,60.6644,434.91,133.8185,UNI,NULL
118,1096,1,2117.69,651.5969,0,0,402.3611,123.8034,923.0637,284.0196,UNI,NULL
119,1119,1,1035.98,318.7631,0,0,196.8362,60.565,451.5654,138.9432,UNI,NULL
120,1111,1,391.68,120.5169,0,0,74.4192,22.8982,170.7264,52.5312,UNI,NULL
121,1110,1,744.532,229.0868,0,0,141.4611,43.5265,324.5284,99.8549,UNI,NULL
122,1114,1,703.766,216.5434,0,0,133.7155,41.1432,306.7592,94.3874,UNI,NULL
123,1080,1,581.366,178.8818,0,0,110.4595,33.9875,243.6608,74.9726,UNI,NULL
124,1079,1,476,146.4615,0,0,90.44,27.8277,199.5,61.3846,UNI,NULL
125,1078,1,510,156.9231,0,0,96.9,29.8154,213.75,65.7692,UNI,NULL
126,1077,1,424.966,130.7588,0,0,80.7435,24.8442,178.1108,54.8033,UNI,NULL
127,1076,1,642.26,197.6185,0,0,122.0294,37.5475,269.1825,82.8254,UNI,NULL
128,2157,1,625.26,192.3877,0,0,118.7994,36.5537,345.9159,106.4357,UNI,NULL
129,2001,1,25.5,7.8462,0,0,4.845,1.4908,11.475,3.5308,UNI,NULL
130,1039,1,112.166,34.5126,0,0,21.3115,6.5574,65.8151,20.2508,UNI,NULL
131,1042,1,452.404,139.2012,0,0,85.9568,26.4482,318.535,98.0108,UNI,NULL
132,1132,1,3056.6,940.4923,458.49,141.0738,580.754,178.6935,1895.991,583.3818,UNI,NULL
133,1131,1,2699.6,830.6462,0,0,512.924,157.8228,1674.546,515.2449,UNI,NULL
134,1141,1,4080,1255.3846,612,188.3077,775.2,238.5231,2530.8,778.7077,UNI,NULL
135,2082,1,58.9,18.1231,0,0,11.191,3.4434,11.191,3.4434,UNI,NULL
136,2081,1,55.1,16.9538,0,0,10.469,3.2212,10.469,3.2212,UNI,NULL
137,2080,1,45.6,14.0308,0,0,8.664,2.6658,8.664,2.6658,UNI,NULL
138,2079,1,36.9,11.3538,0,0,7.011,2.1572,7.011,2.1572,UNI,NULL
139,2129,1,197.37,60.7292,0,0,37.5003,11.5386,97.6111,30.0342,UNI,NULL
140,2128,1,131.274,40.392,0,0,24.9421,7.6745,64.9227,19.9762,UNI,NULL
141,2127,1,414.596,127.568,0,0,78.7732,24.2379,205.0421,63.0899,UNI,NULL
142,2014,1,65.5,20.1538,0,0,12.445,3.8292,29.475,9.0692,UNI,NULL
143,2013,1,42.9,13.2,0,0,8.151,2.508,19.305,5.94,UNI,NULL
144,2051,1,71.85,22.1077,0,0,13.6515,4.2005,30.177,9.2852,UNI,NULL
145,2050,1,59.99,18.4585,0,0,11.3981,3.5071,25.1958,7.7526,UNI,NULL
146,2153,1,883.966,271.9895,0,0,167.9535,51.678,489.0412,150.4742,UNI,NULL
147,3024,1,205.5,63.2308,0,0,39.045,12.0138,36.99,11.3815,UNI,NULL
148,2059,1,75.85,23.3385,0,0,14.4115,4.4343,18.204,5.6012,UNI,NULL
149,2004,1,56.2,17.2923,0,0,10.678,3.2855,25.29,7.7815,UNI,NULL
150,2015,1,59,18.1538,0,0,11.21,3.4492,26.55,8.1692,UNI,NULL
151,2151,1,559.99,172.3046,0,0,106.3981,32.7379,369.5934,113.721,UNI,NULL
152,3002,1,28.6,8.8,0,0,5.434,1.672,6.006,1.848,UNI,NULL
153,3018,1,66.5,20.4615,0,0,12.635,3.8877,11.97,3.6831,UNI,NULL
154,3029,1,68.5,21.0769,0,0,13.015,4.0046,28.085,8.6415,UNI,NULL
155,3030,1,77.6,23.8769,0,0,14.744,4.5366,31.816,9.7895,UNI,NULL
156,3031,1,119.6,36.8,0,0,22.724,6.992,49.036,15.088,UNI,NULL
157,3037,1,38.5,11.8462,0,0,7.315,2.2508,6.93,2.1323,UNI,NULL
158,3040,1,75.95,23.3692,0,0,14.4305,4.4402,13.671,4.2065,UNI,NULL
159,3042,1,79.45,24.4462,0,0,15.0955,4.6448,14.301,4.4003,UNI,NULL
160,3050,1,85.4,26.2769,0,0,16.226,4.9926,38.43,11.8246,UNI,NULL
161,3051,1,79.99,24.6123,0,0,15.1981,4.6763,35.9955,11.0755,UNI,NULL
162,3053,1,81.23,24.9938,0,0,15.4337,4.7488,36.5535,11.2472,UNI,NULL
